Transaction_ID,Vendor_ID,Amount,Quantity,Payment_Method,Days_Between_Transactions,Fraud_Label
T150,1064,49361,11,Card,20,1
T151,1053,48077,9,Bank,16,1
T152,1037,42270,9,Card,26,1
T153,1081,32830,9,UPI,24,0
T154,1014,28207,17,Bank,15,1
T155,1084,45240,2,UPI,20,1
T156,1027,34049,13,Card,14,0
T157,1076,13439,10,UPI,20,0
T158,1064,45760,9,UPI,20,1
T159,1011,39182,1,UPI,19,0
T160,1008,26546,11,Bank,21,0
T161,1062,13899,17,UPI,3,1
T162,1023,14153,6,Card,20,0
T163,1049,42592,16,Card,17,1
T164,1074,11077,2,UPI,18,0
T165,1068,12586,17,Card,6,1
T166,1000,31287,1,Bank,9,0
T167,1032,9433,7,Bank,5,0
T168,1094,24955,11,Card,4,0
T169,1069,7774,6,Bank,18,0
T170,1010,42989,7,Bank,25,1
T171,1032,16364,4,UPI,12,0
T172,1014,19137,14,UPI,25,0
T173,1026,26438,17,Bank,4,1
T174,1065,7652,2,Bank,10,0
T175,1031,33440,6,UPI,19,0
T176,1082,23142,10,UPI,13,0
T177,1024,39388,3,UPI,12,0
T178,1096,13025,3,Card,2,0
T179,1046,12279,16,Bank,22,1
T180,1085,21667,8,Bank,7,0
T181,1071,20698,2,Card,23,0
T182,1078,18669,8,UPI,10,0
T183,1092,29225,6,Card,16,0
T184,1023,29768,1,UPI,10,0
T185,1034,7027,10,UPI,28,0
T186,1063,47911,13,Card,23,1
T187,1092,9455,5,Bank,29,0
T188,1060,37235,15,Bank,19,0
T189,1055,44276,11,UPI,7,1
T190,1008,14542,16,Card,25,1
T191,1063,1576,7,UPI,18,0
T192,1056,22332,13,UPI,7,0
T193,1019,30814,8,Card,15,0
T194,1051,21782,8,UPI,7,0
T195,1096,42532,13,Bank,14,1
T196,1032,22193,10,Card,26,0
T197,1082,42479,8,Bank,25,1
T198,1017,1792,11,Bank,9,0
T199,1026,41883,7,UPI,4,1
T200,1011,13812,7,UPI,2,0
T201,1074,37773,10,Bank,4,0
T202,1054,34415,19,UPI,13,1
T203,1096,25749,4,UPI,3,0
T204,1055,16924,1,UPI,9,0
T205,1051,19871,16,Bank,7,1
T206,1027,36980,4,Bank,11,0
T207,1005,15117,9,UPI,23,0
T208,1048,29920,2,Card,2,0
T209,1064,13648,16,Bank,4,1
T210,1065,34855,15,UPI,5,0
T211,1077,34171,4,Card,9,0
T212,1080,27371,8,Card,17,0
T213,1056,28704,8,UPI,5,0
T214,1053,43876,6,UPI,16,1
T215,1025,18382,12,Bank,22,0
T216,1028,40097,4,Card,14,1
T217,1054,29559,19,Card,7,1
T218,1057,34617,19,UPI,28,1
T219,1058,39722,16,Card,9,1
T220,1080,16180,11,UPI,25,0
T221,1036,1642,8,Bank,5,0
T222,1088,1444,16,Bank,5,1
T223,1019,15091,18,Bank,4,1
T224,1026,48475,1,UPI,15,1
T225,1000,27368,8,UPI,26,0
T226,1089,28223,19,Card,14,1
T227,1099,25286,6,UPI,29,0
T228,1039,22709,13,Bank,22,0
T229,1043,34866,14,Bank,26,0
T230,1046,7871,19,Bank,18,1
T231,1078,26642,15,UPI,23,0
T232,1019,42606,2,UPI,9,1
T233,1046,38966,3,Bank,17,0
T234,1025,41915,17,Card,2,1
T235,1087,20722,13,Card,28,0
T236,1084,42974,17,UPI,4,1
T237,1088,8092,7,Bank,26,0
T238,1089,31749,4,UPI,7,0
T239,1023,10836,4,Bank,22,0
T240,1031,43104,16,UPI,1,1
T241,1072,46258,4,UPI,27,1
T242,1055,47560,11,Card,18,1
T243,1081,35541,16,Card,28,1
T244,1085,29014,19,Bank,6,1
T245,1031,4235,4,UPI,8,0
T246,1037,21876,5,UPI,27,0
T247,1014,36902,16,UPI,26,1
T248,1089,43837,18,Card,23,1
T249,1048,34269,10,UPI,7,0
T250,1006,4229,17,Card,17,1
T251,1068,26529,5,Card,13,0
T252,1017,40915,1,Card,15,1
T253,1058,43365,1,Card,22,1
T254,1078,17108,2,Card,20,0
T255,1030,17038,10,UPI,22,0
T256,1036,23442,17,Card,7,1
T257,1020,49870,10,UPI,9,1
T258,1026,32636,5,Bank,21,0
T259,1036,42283,6,Card,27,1
T260,1010,35014,1,Card,28,0
T261,1062,44034,2,UPI,8,1
T262,1022,37915,17,UPI,4,1
T263,1064,6647,9,Bank,2,0
T264,1002,32771,7,UPI,21,0
T265,1091,24940,17,Bank,23,1
T266,1028,36999,14,UPI,6,0
T267,1004,33848,9,Card,26,0
T268,1029,12848,17,Card,8,1
T269,1068,48128,15,UPI,5,1
T270,1063,24555,10,UPI,2,0
T271,1086,9247,12,UPI,8,0
T272,1045,29058,16,Bank,19,1
T273,1075,25135,15,UPI,15,0
T274,1059,5789,19,Card,4,1
T275,1052,38344,4,Card,23,0
T276,1025,31535,13,UPI,25,0
T277,1093,48765,10,Card,2,1
T278,1054,24353,8,Card,29,0
T279,1090,26736,15,UPI,12,0
T280,1032,44699,17,Bank,16,1
T281,1011,33001,18,Card,1,1
T282,1079,3274,1,Card,24,0
T283,1073,41769,19,Card,9,1
T284,1030,6076,14,UPI,16,0
T285,1020,22225,12,UPI,16,0
T286,1051,33561,5,UPI,25,0
T287,1054,13624,10,UPI,9,0
T288,1017,4827,5,Card,1,1
T289,1081,39339,1,Card,14,0
T290,1051,45804,19,UPI,6,1
T291,1068,22493,10,UPI,24,0
T292,1056,1668,17,Card,3,1
T293,1076,46682,3,Card,23,1
T294,1032,9710,16,UPI,15,1
T295,1076,33451,19,Card,17,1
T296,1099,48554,18,Bank,22,1
T297,1003,6625,4,Bank,3,0
T298,1045,18896,15,UPI,29,0
T299,1084,30217,16,UPI,26,1
T300,1070,39746,1,Card,6,0
T301,1090,36986,1,UPI,10,0
T302,1068,40376,16,UPI,14,1
T303,1013,3218,12,Card,3,0
T304,1026,8741,19,Card,12,1
T305,1073,17316,2,Card,25,0
T306,1086,34160,9,Card,17,0
T307,1096,2993,9,Card,4,0
T308,1057,39352,18,Bank,4,1
T309,1010,43360,2,UPI,29,1
T310,1024,1484,2,UPI,14,0
T311,1070,45880,11,Bank,19,1
T312,1024,5327,5,Card,19,0
T313,1008,43104,17,UPI,3,1
T314,1069,47311,3,Card,8,1
T315,1086,37002,17,Card,25,1
T316,1052,29549,17,UPI,6,1
T317,1093,21787,14,Card,1,1
T318,1058,8807,17,Card,5,1
T319,1048,38536,18,UPI,16,1
T320,1040,3874,12,UPI,3,0
T321,1037,4332,9,UPI,22,0
T322,1009,34028,8,UPI,14,0
T323,1029,39618,17,Bank,3,1
T324,1005,10476,18,Bank,3,1
T325,1032,30408,4,Card,25,0
T326,1059,33239,13,Bank,15,0
T327,1010,48574,18,Bank,14,1
T328,1028,37079,5,Card,29,0
T329,1048,22220,4,Bank,6,0
T330,1046,13660,19,UPI,13,1
T331,1068,39978,14,Bank,17,0
T332,1061,12859,16,Bank,15,1
T333,1019,8442,15,Card,14,0
T334,1085,43957,15,Card,12,1
T335,1054,1911,12,UPI,5,0
T336,1054,11414,18,Bank,13,1
T337,1007,9163,11,Card,11,0
T338,1081,40738,19,UPI,28,1
T339,1053,13725,18,Card,28,1
T340,1074,28420,16,Bank,24,1
T341,1036,14596,13,Bank,10,0
T342,1031,49525,4,Bank,10,1
T343,1043,31191,7,Bank,23,0
T344,1050,41164,8,Card,8,1
T345,1050,15130,1,Card,27,0
T346,1064,17396,4,Card,22,0
T347,1009,5309,12,Card,4,0
T348,1037,28366,7,Bank,15,0
T349,1057,45415,1,UPI,11,1
T350,1086,45889,2,Card,8,1
T351,1093,24838,14,Card,19,0
T352,1045,18146,18,UPI,4,1
T353,1008,38708,14,Card,23,0
T354,1008,32216,9,Card,23,0
T355,1020,32676,3,Card,23,0
T356,1064,18549,3,Bank,15,0
T357,1035,24148,2,Card,27,0
T358,1045,10280,3,UPI,24,0
T359,1009,37811,18,Bank,12,1
T360,1085,28858,13,Card,18,0
T361,1088,14241,1,Bank,15,0
T362,1011,30050,5,Card,3,0
T363,1040,47947,14,Bank,12,1
T364,1053,8303,10,UPI,29,0
T365,1085,26118,4,Card,13,0
T366,1087,12371,8,Bank,3,0
T367,1066,1933,4,UPI,19,0
T368,1034,14024,5,Bank,20,0
T369,1034,18771,7,Bank,15,0
T370,1040,18492,4,Bank,24,0
T371,1001,4860,7,Bank,8,0
T372,1003,2894,8,Card,27,0
T373,1014,14116,1,Bank,25,0
T374,1087,1405,8,Bank,8,0
T375,1073,20515,18,UPI,28,1
T376,1083,20788,1,Card,7,0
T377,1011,26376,19,Bank,17,1
T378,1050,10591,16,UPI,27,1
T379,1077,22838,10,Card,12,0
T380,1071,7631,7,Card,5,0
T381,1059,38897,6,Card,16,0
T382,1038,47588,4,UPI,8,1
T383,1019,49118,5,UPI,14,1
T384,1021,2137,1,Bank,25,0
T385,1087,34601,15,Bank,14,0
T386,1092,19305,8,Bank,2,0
T387,1093,47323,15,UPI,22,1
T388,1078,28509,7,Card,28,0
T389,1070,44686,12,Bank,12,1
T390,1052,18620,9,UPI,13,0
T391,1013,21066,8,Card,13,0
T392,1002,13790,11,UPI,29,0
T393,1041,13959,11,Bank,14,0
T394,1094,35545,11,UPI,16,0
T395,1087,32156,16,Card,13,1
T396,1026,34408,15,Bank,1,1
T397,1048,32024,1,UPI,7,0
T398,1062,28900,1,Bank,25,0
T399,1007,45029,11,Card,15,1
T400,1058,10075,12,Bank,5,0
T401,1062,31139,15,UPI,29,0
T402,1007,24555,17,UPI,16,1
T403,1026,3020,15,Card,5,0
T404,1023,43706,4,Bank,12,1
T405,1008,9629,2,Bank,20,0
T406,1088,46811,12,Card,19,1
T407,1042,4588,13,Bank,13,0
T408,1084,26245,4,UPI,17,0
T409,1075,11928,8,Bank,26,0
T410,1031,31488,6,UPI,5,0
T411,1001,47392,16,Card,9,1
T412,1059,38335,14,Card,22,0
T413,1035,32006,4,Card,4,0
T414,1044,3635,18,Bank,2,1
T415,1006,34844,9,Bank,14,0
T416,1019,42691,10,UPI,7,1
T417,1058,21811,18,Bank,3,1
T418,1073,36141,9,Card,6,0
T419,1071,29119,19,Card,15,1
T420,1033,30058,2,UPI,21,0
T421,1004,4776,8,Bank,7,0
T422,1075,9465,3,Bank,6,0
T423,1093,37441,15,Card,3,0
T424,1054,31394,3,UPI,22,0
T425,1059,46105,3,Bank,23,1
T426,1006,10993,2,UPI,21,0
T427,1010,42561,10,Card,24,1
T428,1015,40192,16,Card,29,1
T429,1016,6670,17,UPI,9,1
T430,1009,43534,18,UPI,5,1
T431,1053,2096,10,Bank,13,0
T432,1091,39992,19,UPI,10,1
T433,1014,18328,6,Card,19,0
T434,1038,39663,12,Card,14,0
T435,1024,45078,18,Card,1,1
T436,1031,38538,11,Card,5,0
T437,1080,29831,11,UPI,2,0
T438,1053,33725,3,UPI,17,0
T439,1081,48295,7,Card,27,1
T440,1032,37339,3,UPI,25,0
T441,1027,3165,6,Bank,15,0
T442,1060,18602,4,UPI,1,1
T443,1011,44081,14,UPI,24,1
T444,1069,14060,14,Bank,15,0
T445,1085,25166,9,Card,17,0
T446,1022,2564,12,Card,10,0
T447,1031,43098,7,UPI,23,1
T448,1003,17648,16,Card,9,1
T449,1064,35910,18,UPI,2,1
T450,1003,31542,11,Bank,15,0
T451,1067,47096,2,Bank,22,1
T452,1019,22282,17,Card,3,1
T453,1056,37456,15,Card,20,0
T454,1094,24512,1,UPI,17,0
T455,1074,10487,18,Card,25,1
T456,1034,31484,12,Card,13,0
T457,1048,21046,18,Bank,15,1
T458,1049,9303,16,Bank,28,1
T459,1081,34220,2,UPI,13,0
T460,1009,46302,3,Card,1,1
T461,1012,28747,13,UPI,27,0
T462,1082,45922,3,Card,22,1
T463,1007,4951,1,UPI,4,0
T464,1060,17408,3,Card,28,0
T465,1098,40326,12,UPI,14,1
T466,1096,40922,8,UPI,22,1
T467,1023,12656,18,Card,28,1
T468,1034,14193,12,UPI,1,1
T469,1062,2945,2,UPI,8,0
T470,1000,12167,2,Card,9,0
T471,1087,33471,10,Card,13,0
T472,1038,35224,9,UPI,26,0
T473,1026,14558,15,Bank,26,0
T474,1003,25275,13,Bank,29,0
T475,1094,3823,16,Bank,9,1
T476,1034,39383,13,Bank,9,0
T477,1018,15574,17,Card,19,1
T478,1018,34407,1,UPI,29,0
T479,1078,31821,6,Card,11,0
T480,1097,46489,7,UPI,21,1
T481,1065,39394,17,UPI,14,1
T482,1089,5781,9,UPI,11,0
T483,1067,38433,4,Card,13,0
T484,1062,22412,16,UPI,2,1
T485,1097,24070,6,Bank,16,0
T486,1042,48768,4,Bank,26,1
T487,1049,1378,14,UPI,9,0
T488,1037,45350,18,UPI,19,1
T489,1021,40419,7,Bank,8,1
T490,1064,35431,17,Bank,27,1
T491,1043,8246,8,Bank,12,0
T492,1031,5999,15,Card,28,0
T493,1018,48212,9,UPI,17,1
T494,1014,6352,5,Card,2,0
T495,1090,9908,5,Card,16,0
T496,1022,14654,7,Card,11,0
T497,1030,14248,14,Bank,4,0
T498,1045,11444,2,UPI,19,0
T499,1020,39006,14,UPI,15,0
T500,1062,33453,5,UPI,11,0
T501,1079,31377,14,Bank,14,0
T502,1000,40920,7,UPI,23,1
T503,1003,4710,6,UPI,11,0
T504,1035,14394,3,Bank,14,0
T505,1052,49250,12,Card,6,1
T506,1099,10639,4,UPI,22,0
T507,1021,5191,1,UPI,11,0
T508,1060,28904,16,Card,29,1
T509,1010,26129,13,UPI,19,0
T510,1058,30058,8,Bank,5,0
T511,1065,37327,7,Bank,25,0
T512,1087,12381,10,UPI,4,0
T513,1093,2491,15,Card,24,0
T514,1084,9321,10,UPI,15,0
T515,1015,28351,4,Bank,17,0
T516,1088,6466,10,Bank,23,0
T517,1072,27355,7,Bank,22,0
T518,1036,4606,1,Bank,19,0
T519,1062,34679,9,UPI,7,0
T520,1035,47612,2,Card,8,1
T521,1060,3411,9,Card,21,0
T522,1065,2059,16,Card,29,1
T523,1033,17056,14,Card,6,0
T524,1044,26306,2,Bank,6,0
T525,1095,42517,12,UPI,7,1
T526,1021,47872,7,Card,5,1
T527,1009,46654,17,Card,20,1
T528,1093,5681,11,UPI,11,0
T529,1041,15168,6,Card,19,0
T530,1034,26932,15,UPI,27,0
T531,1058,40174,18,UPI,1,1
T532,1046,30975,2,UPI,18,0
T533,1040,43583,8,UPI,6,1
T534,1095,37264,18,Card,14,1
T535,1063,18885,13,UPI,23,0
T536,1087,10549,10,Card,17,0
T537,1034,22515,10,Bank,24,0
T538,1024,36158,4,Bank,23,0
T539,1024,27084,3,Card,27,0
T540,1052,36021,9,UPI,10,0
T541,1081,9063,8,Bank,23,0
T542,1087,15896,9,Card,26,0
T543,1044,47731,14,UPI,22,1
T544,1052,15645,3,Card,5,0
T545,1045,14547,14,Card,12,0
T546,1041,42767,15,UPI,10,1
T547,1007,22839,12,UPI,8,0
T548,1076,3977,1,Card,3,0
T549,1043,44806,14,Card,11,1
T550,1074,21515,13,Card,28,0
T551,1030,26211,18,UPI,7,1
T552,1026,10301,18,UPI,7,1
T553,1080,26456,1,UPI,6,0
T554,1079,44687,4,UPI,18,1
T555,1092,10737,3,Card,17,0
T556,1011,45697,5,Card,17,1
T557,1059,35195,2,Bank,28,0
T558,1026,11562,7,UPI,4,0
T559,1001,9909,14,Bank,22,0
T560,1030,43244,17,Card,19,1
T561,1043,14884,2,UPI,11,0
T562,1085,48912,14,Card,16,1
T563,1045,7383,13,Card,12,0
T564,1072,5373,18,UPI,23,1
T565,1041,2027,17,Bank,2,1
T566,1070,4579,8,UPI,6,0
T567,1073,12966,8,Bank,6,0
T568,1036,1045,2,Bank,19,0
T569,1036,22146,14,UPI,16,0
T570,1031,30460,19,Bank,20,1
T571,1033,17974,1,Card,23,0
T572,1040,3955,16,UPI,15,1
T573,1079,22407,17,UPI,5,1
T574,1076,39155,16,Bank,13,1
T575,1085,2178,17,UPI,27,1
T576,1022,42277,7,UPI,10,1
T577,1078,3927,7,Bank,4,0
T578,1007,26851,16,Card,6,1
T579,1044,39422,7,UPI,19,0
T580,1081,9175,4,Bank,22,0
T581,1052,8110,12,Card,24,0
T582,1029,19854,15,Card,10,0
T583,1032,37653,16,Bank,13,1
T584,1072,15654,1,Card,13,0
T585,1016,41029,14,Bank,6,1
T586,1056,32064,9,UPI,21,0
T587,1005,26035,11,Card,16,0
T588,1088,28828,18,Card,28,1
T589,1014,25147,6,Card,26,0
T590,1002,17586,10,UPI,28,0
T591,1036,43019,10,UPI,3,1
T592,1050,1381,10,Bank,15,0
T593,1052,16059,19,UPI,19,1
T594,1050,6286,10,Card,7,0
T595,1015,45006,19,Bank,28,1
T596,1087,27565,12,UPI,24,0
T597,1040,43573,11,UPI,5,1
T598,1056,10213,16,Bank,24,1
T599,1077,2405,4,Card,11,0
T600,1032,13973,9,Card,25,0
T601,1055,44651,2,Card,13,1
T602,1005,30188,14,Bank,16,0
T603,1067,46713,12,Card,23,1
T604,1099,9714,19,Card,14,1
T605,1029,8308,17,Bank,21,1
T606,1062,29175,9,Card,15,0
T607,1019,34437,7,Bank,26,0
T608,1064,3687,14,UPI,13,0
T609,1090,49413,1,UPI,11,1
T610,1035,27592,14,UPI,14,0
T611,1036,44129,19,Bank,29,1
T612,1059,11419,1,UPI,23,0
T613,1082,24449,14,Card,7,0
T614,1034,21957,18,Card,1,1
T615,1036,33397,8,Card,17,0
T616,1051,40892,8,UPI,9,1
T617,1022,49541,12,UPI,12,1
T618,1046,12798,15,Bank,10,0
T619,1042,45479,7,Bank,5,1
T620,1037,45515,4,UPI,2,1
T621,1022,36336,13,Card,16,0
T622,1097,34165,14,UPI,7,0
T623,1092,46720,16,UPI,28,1
T624,1077,7597,7,UPI,5,0
T625,1031,21976,11,Bank,15,0
T626,1049,26666,19,UPI,24,1
T627,1054,32164,15,Card,1,1
T628,1042,5869,2,UPI,26,0
T629,1037,47271,14,UPI,16,1
T630,1065,24643,2,Card,13,0
T631,1088,37609,16,UPI,12,1
T632,1030,29041,19,Bank,21,1
T633,1025,42627,9,UPI,25,1
T634,1059,21734,9,UPI,13,0
T635,1011,40996,6,Card,16,1
T636,1021,8580,18,UPI,21,1
T637,1025,13869,3,Card,8,0
T638,1099,5781,8,Bank,6,0
T639,1074,8814,4,Card,14,0
T640,1061,11058,4,Bank,11,0
T641,1056,29838,11,Card,9,0
T642,1075,4857,4,Bank,6,0
T643,1040,3771,4,Card,1,1
T644,1067,38876,9,Card,3,0
T645,1067,20746,6,UPI,6,0
T646,1051,35597,17,UPI,15,1
T647,1046,3164,2,Bank,2,0
T648,1006,22668,10,Card,13,0
T649,1063,42610,8,Bank,2,1
T650,1079,37958,19,UPI,23,1
T651,1001,6513,19,UPI,10,1
T652,1076,48819,1,Bank,3,1
T653,1025,39563,14,Bank,3,0
T654,1041,18817,6,Card,8,0
T655,1005,49424,10,Card,27,1
T656,1074,6650,10,UPI,8,0
T657,1080,24112,6,UPI,8,0
T658,1022,28538,7,Card,23,0
T659,1074,34381,2,Card,17,0
T660,1087,20473,1,Card,21,0
T661,1044,31983,6,UPI,4,0
T662,1084,14786,14,UPI,13,0
T663,1043,36595,7,UPI,25,0
T664,1042,35368,17,Bank,16,1
T665,1027,44340,19,UPI,16,1
T666,1052,9435,13,Card,17,0
T667,1039,49008,16,Card,1,1
T668,1058,20414,8,Card,9,0
T669,1033,20940,9,Bank,13,0
T670,1088,17804,17,UPI,14,1
T671,1071,29693,16,Bank,24,1
T672,1042,25414,11,Bank,9,0
T673,1008,48153,6,Bank,4,1
T674,1054,9178,3,Card,13,0
T675,1088,43561,1,UPI,12,1
T676,1079,16228,10,UPI,19,0
T677,1057,42990,10,Card,23,1
T678,1056,23485,14,UPI,9,0
T679,1080,4911,3,UPI,21,0
T680,1004,25011,13,Bank,4,0
T681,1070,49350,2,Card,10,1
T682,1073,22254,14,UPI,28,0
T683,1054,8881,4,Card,5,0
T684,1027,44225,15,Bank,4,1
T685,1054,22931,8,Bank,9,0
T686,1025,10811,9,Card,22,0
T687,1051,1318,4,Card,10,0
T688,1063,43018,4,UPI,15,1
T689,1007,45465,15,UPI,5,1
T690,1011,24170,7,UPI,25,0
T691,1051,41589,14,Card,8,1
T692,1018,3610,8,UPI,10,0
T693,1087,44413,3,Bank,12,1
T694,1020,41518,7,Bank,14,1
T695,1011,42547,13,UPI,10,1
T696,1071,36650,8,Card,19,0
T697,1018,12894,14,UPI,4,0
T698,1069,13424,1,Bank,26,0
T699,1028,8788,6,UPI,23,0
T700,1019,45628,18,Bank,12,1
T701,1089,31942,15,Bank,16,0
T702,1032,27924,18,Card,16,1
T703,1013,18970,16,Card,8,1
T704,1069,43950,9,UPI,2,1
T705,1067,44362,13,Card,17,1
T706,1055,7710,15,Bank,11,0
T707,1038,23177,7,Card,26,0
T708,1078,3382,7,Card,2,0
T709,1097,45018,18,UPI,11,1
T710,1093,45785,11,UPI,3,1
T711,1020,4028,9,Bank,21,0
T712,1054,2650,9,Bank,6,0
T713,1002,30574,5,Card,12,0
T714,1087,24046,3,Bank,6,0
T715,1045,18194,16,Bank,15,1
T716,1000,39550,18,UPI,24,1
T717,1026,34282,7,Card,17,0
T718,1013,28956,2,Bank,12,0
T719,1030,29772,18,Card,29,1
T720,1067,4430,15,UPI,17,0
T721,1059,17625,12,Bank,1,1
T722,1090,20222,19,UPI,10,1
T723,1018,19272,6,UPI,29,0
T724,1028,20880,7,Card,9,0
T725,1065,48923,6,Bank,24,1
T726,1040,9070,7,Card,12,0
T727,1036,30373,19,Card,25,1
T728,1083,23875,1,Card,4,0
T729,1091,16673,4,UPI,17,0
T730,1024,10573,19,Bank,18,1
T731,1039,16299,14,UPI,1,1
T732,1085,38125,8,Bank,12,0
T733,1020,29293,13,Card,24,0
T734,1041,8422,15,UPI,25,0
T735,1096,8839,14,Bank,27,0
T736,1020,33093,8,Card,13,0
T737,1016,23996,11,UPI,10,0
T738,1095,26838,8,Bank,24,0
T739,1046,39382,19,Bank,25,1
T740,1071,35292,19,Card,10,1
T741,1030,8148,18,Bank,28,1
T742,1065,38407,12,Card,16,0
T743,1047,49990,9,Card,22,1
